year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes
2016,NEW MEXICO,NM,35,85,66,US PRESIDENT,"STEIN, JILL",GREEN,False,9879,798319
2016,NEW MEXICO,NM,35,85,66,US PRESIDENT,"MCMULLIN, EVAN",BETTER FOR AMERICA,False,5825,798319
2016,NEW MEXICO,NM,35,85,66,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,False,1514,798319
2016,NEW MEXICO,NM,35,85,66,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,False,1184,798319
2016,NEW MEXICO,NM,35,85,66,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,False,475,798319
2016,NEW YORK,NY,36,21,13,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,4379789,7802084
2016,NEW YORK,NY,36,21,13,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,2527142,7802084
2016,NEW YORK,NY,36,21,13,US PRESIDENT,"TRUMP, DONALD J.",CONSERVATIVE,False,292392,7802084
2016,NEW YORK,NY,36,21,13,US PRESIDENT,"CLINTON, HILLARY",WORKING FAMILIES,False,140041,7802084
2016,NEW YORK,NY,36,21,13,US PRESIDENT,"JOHNSON, GARY",INDEPENDENCE,False,119156,7802084
